opasnim	opasan	Agpmsiy
ili	ili	Cc
je	biti	Var3s
iz	iz	Sg
njih	oni	Pp3-pg
odstranjena	odstraniti	Appfsny
želatina	želatina	Ncfsn
–	–	Z
riblji	riblji	Agpmsny
otpad	otpad	Ncmsn
–	–	Pd-fsg
ljuske	ljuska	Ncfsg
,	,	Z
mahune	mahuna	Ncfpa
i	i	Cc
ostali	ostali	Agpmsayn
otpad	otpad	Ncmsan
od	od	Sg
kakaa	kakao	Ncmsg
–	–	Z
ostale	ostali	Agpfsgy
vrste	vrsta	Ncfsg
otpada	otpad	Ncmsg
iz	iz	Sg
poljoprivredno-prehrambene	poljoprivredno-prehrambeni	Agpfsgy
industrije	industrija	Ncfsg
isključujući	isključivati	Rr
nusproizvode	nusproizvod	Ncmpa
koji	koji	Pi-mpn
ispunjavaju	ispunjavati	Vmr3p
nacionalne	nacionalan	Agpfpay
i	i	Cc
međunarodne	međunarodni	Agpmpay
standarde	standard	Ncmpa
za	za	Sa
prehranu	prehrana	Ncfsa
ljudi	čovjek	Ncmpg
i	i	Cc
životinja	životinja	Ncfsn
B3065	b306i	Agpfsgy
Otpadne	otpadni	Agpfsgy
jestive	jestiv	Agpfsgy
masti	mast	Ncfsg
i	i	Cc
ulja	ulje	Ncnsg
životinjskog	životinjski	Agpmsgy
ili	ili	Cc
biljnog	biljan	Agpnsgy
porijekla	porijeklo	Ncnsg
(	(	Z
npr.	npr.	Y
ulje	ulje	Ncnsn
za	za	Sa
prženje	prženje	Ncnsa
)	)	Z
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
nemaju	nemati	Vmr3p
svojstva	svojstvo	Ncnpn
iz	iz	Sg
Priloga	prilog	Ncmsg
III	III	Mrc
.	.	Z

B3070	B3070	Mdc
Sljedeće	sljedeći	Agpfsgy
vrste	vrsta	Ncfsg
otpada	otpad	Ncmsg
:	:	Z
–	–	Z
otpadna	otpadni	Agpfsny
ljudska	ljudski	Agpfsny
kosa	kosa	Ncfsn
–	–	Z
otpadna	otpadni	Agpfsny
slama	slama	Ncfsn
–	–	Z
deaktivirani	deaktivirati	Agpmsny
micelij	micelij	Ncmsn

