istočne	istočni	Agpfpny
15	15	Mdc
-	-	Z
3	3	Mdc
Z-4635	Z-4635	Y
Općina	općina	Ncfsn
ZADVARJE	ZADVARJE	Npfsg
Zadvarje	Zadvarja	Npfsg
Utvrda	utvrda	Ncfsn
Zadvarje	Zadvarja	Npfsg
i	i	Cc
arheološko	arheološki	Agpnsny
nalazište	nalazište	Ncnsn
k.	k.	Y
č.	č.	Y
zgr	zgr	Ncmsan
.	.	Z
60	60	Mdc
i	i	Cc
61	61	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1405	1405	Mdc
)	)	Z
,	,	Z
k.	k.	Y
č.	č.	Y
zem	z	Ncmsi
.	.	Z
617/1	617/1	Mdc
i	i	Cc
617/2	617/2	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1407	1407	Mdc
)	)	Z
,	,	Z
617/3	617/3	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
1452	1452	Mdc
)	)	Z
,	,	Z

